round,mode,events,checkpoint_commits,sync_calls,elapsed_ms,p50_durable_ms,p99_durable_ms,max_durable_ms,max_pending
0,per_event,200,200,400,1461.26,308.848,538.745,561.245,1
0,batch8,200,30,60,919.492,13.0758,27.2824,27.2824,8
1,batch8,200,30,60,919.497,12.9358,26.8825,26.8825,8
1,per_event,200,200,400,1373.29,250.854,460.383,473.276,1
2,per_event,200,200,400,1387.65,257.789,475.022,487.631,1
2,batch8,200,30,60,920.127,13.072,25.6,25.6,8
