sequence,planned_ms,computed_ms,durable_ms
1,0,0.001758,6.57795
2,0,6.59122,13.2706
3,0,13.3115,20.0144
4,0,20.0328,26.8049
5,0,26.8219,33.5315
6,0,33.5492,39.8816
7,0,39.8946,46.4046
8,0,46.422,53.0817
9,0,53.0993,59.7326
10,0,59.753,66.5683
11,0,66.5906,73.1746
12,0,73.1926,79.8307
13,0,79.8525,86.5959
14,0,86.6104,93.0397
15,0,93.0599,99.6683
16,0,99.6854,106.21
17,0,106.224,112.889
18,0,112.907,122.688
19,0,122.706,129.171
20,0,129.188,135.472
21,100,135.491,141.983
22,100,142.002,148.418
23,100,148.436,155.02
24,100,155.036,161.561
25,100,161.579,168.07
26,100,168.088,174.449
27,100,174.468,181.084
28,100,181.106,187.719
29,100,187.737,195.736
30,100,195.752,210.395
31,100,210.413,216.775
32,100,216.793,223.168
33,100,223.186,233.726
34,100,233.751,241.245
35,100,241.267,248.005
36,100,248.024,255.193
37,100,255.21,261.805
38,100,261.823,276.381
39,100,276.401,286.38
40,100,286.4,294.511
41,200,294.529,301.092
42,200,301.109,311.423
43,200,311.444,317.989
44,200,318.007,325.503
45,200,325.522,332.145
46,200,332.165,338.797
47,200,338.818,345.167
48,200,345.187,352.399
49,200,352.414,358.779
50,200,358.797,365.608
51,200,365.629,372.402
52,200,372.421,379.119
53,200,379.136,387.899
54,200,387.919,394.487
55,200,394.521,401.526
56,200,401.546,408.184
57,200,408.205,414.893
58,200,414.914,421.755
59,200,421.77,435.396
60,200,435.418,452.415
61,300,452.433,459.14
62,300,459.166,465.907
63,300,465.926,472.732
64,300,472.753,479.544
65,300,479.577,486.484
66,300,486.501,494.321
67,300,494.341,502.246
68,300,502.271,508.994
69,300,509.012,515.905
70,300,515.923,522.391
71,300,522.413,532.295
72,300,532.315,538.992
73,300,539.009,545.608
74,300,545.627,552.426
75,300,552.443,559.393
76,300,559.411,566.948
77,300,566.967,573.725
78,300,573.754,581.039
79,300,581.057,587.591
80,300,587.608,594.101
81,400,594.121,609.574
82,400,609.595,616.327
83,400,616.34,623.008
84,400,623.017,629.38
85,400,629.394,635.878
86,400,635.895,642.312
87,400,642.334,648.963
88,400,648.983,655.744
89,400,655.762,662.404
90,400,662.424,669.003
91,400,669.022,675.532
92,400,675.551,682.219
93,400,682.237,688.975
94,400,688.99,695.451
95,400,695.468,701.871
96,400,701.887,708.385
97,400,708.403,715.012
98,400,715.027,721.632
99,400,721.647,728.394
100,400,728.407,734.582
101,500,734.594,741.031
102,500,741.049,747.749
103,500,747.763,754.479
104,500,754.495,761.067
105,500,761.084,767.515
106,500,767.531,773.973
107,500,773.991,781.664
108,500,781.68,788.57
109,500,788.587,795.181
110,500,795.198,801.429
111,500,801.446,808.397
112,500,808.417,815.348
113,500,815.378,822.136
114,500,822.153,828.865
115,500,828.882,835.155
116,500,835.168,841.244
117,500,841.262,847.943
118,500,847.957,854.563
119,500,854.575,860.979
120,500,860.992,867.47
121,600,867.487,873.898
122,600,873.912,880.416
123,600,880.437,887.013
124,600,887.029,893.383
125,600,893.4,899.669
126,600,899.684,906.197
127,600,906.212,912.455
128,600,912.469,919.25
129,600,919.27,926.271
130,600,926.304,932.961
131,600,932.977,939.599
132,600,939.616,946.211
133,600,946.225,953.199
134,600,953.216,960.031
135,600,960.043,966.555
136,600,966.568,973.159
137,600,973.177,980.969
138,600,980.991,989.769
139,600,989.786,997.71
140,600,997.728,1004.49
141,700,1004.51,1011.21
142,700,1011.23,1017.9
143,700,1017.91,1024.46
144,700,1024.47,1031.05
145,700,1031.06,1037.4
146,700,1037.41,1044.08
147,700,1044.1,1050.78
148,700,1050.8,1057.39
149,700,1057.41,1064.49
150,700,1064.51,1071.18
151,700,1071.2,1077.86
152,700,1077.89,1084.5
153,700,1084.52,1091.61
154,700,1091.63,1098.63
155,700,1098.65,1105.07
156,700,1105.09,1111.7
157,700,1111.71,1118.47
158,700,1118.48,1125.31
159,700,1125.33,1131.8
160,700,1131.81,1138.48
161,800,1138.49,1145.28
162,800,1145.31,1151.92
163,800,1151.94,1158.56
164,800,1158.58,1165.01
165,800,1165.03,1171.58
166,800,1171.6,1189.45
167,800,1189.47,1199.28
168,800,1199.32,1205.86
169,800,1205.88,1212.49
170,800,1212.51,1219.18
171,800,1219.2,1225.77
172,800,1225.79,1232.4
173,800,1232.42,1239.18
174,800,1239.19,1247.68
175,800,1247.69,1254.47
176,800,1254.5,1261.38
177,800,1261.4,1267.87
178,800,1267.89,1274.62
179,800,1274.63,1281.3
180,800,1281.32,1289.12
181,900,1289.14,1295.82
182,900,1295.83,1302.73
183,900,1302.75,1309.46
184,900,1309.48,1316.31
185,900,1316.33,1323.05
186,900,1323.07,1330.08
187,900,1330.1,1337.82
188,900,1337.84,1344.26
189,900,1344.28,1361.43
190,900,1361.45,1377.33
191,900,1377.35,1385.65
192,900,1385.67,1392.45
193,900,1392.46,1399.07
194,900,1399.09,1405.7
195,900,1405.71,1413.69
196,900,1413.7,1420.1
197,900,1420.12,1426.78
198,900,1426.8,1435.56
199,900,1435.58,1442.14
200,900,1442.16,1448.77
