sequence,planned_ms,computed_ms,durable_ms
1,0,0.002171,6.33836
2,0,0.002568,6.33836
3,0,0.002875,6.33836
4,0,0.003141,6.33836
5,0,0.003411,6.33836
6,0,0.003677,6.33836
7,0,0.003944,6.33836
8,0,0.00421,6.33836
9,0,6.38359,12.9315
10,0,6.38456,12.9315
11,0,6.38544,12.9315
12,0,6.38628,12.9315
13,0,6.38711,12.9315
14,0,6.38793,12.9315
15,0,6.38876,12.9315
16,0,6.38959,12.9315
17,0,12.9774,22.0023
18,0,12.9782,22.0023
19,0,12.9791,22.0023
20,0,12.9799,22.0023
21,100,100.074,106.766
22,100,100.075,106.766
23,100,100.075,106.766
24,100,100.076,106.766
25,100,100.077,106.766
26,100,100.077,106.766
27,100,100.078,106.766
28,100,100.079,106.766
29,100,106.805,113.413
30,100,106.805,113.413
31,100,106.806,113.413
32,100,106.807,113.413
33,100,106.807,113.413
34,100,106.808,113.413
35,100,106.809,113.413
36,100,106.809,113.413
37,100,113.449,121.935
38,100,113.45,121.935
39,100,113.451,121.935
40,100,113.452,121.935
41,200,200.073,206.843
42,200,200.074,206.843
43,200,200.075,206.843
44,200,200.076,206.843
45,200,200.077,206.843
46,200,200.078,206.843
47,200,200.079,206.843
48,200,200.08,206.843
49,200,206.884,213.282
50,200,206.885,213.282
51,200,206.886,213.282
52,200,206.886,213.282
53,200,206.887,213.282
54,200,206.887,213.282
55,200,206.888,213.282
56,200,206.889,213.282
57,200,213.309,222.089
58,200,213.31,222.089
59,200,213.31,222.089
60,200,213.31,222.089
61,300,300.264,310.307
62,300,300.265,310.307
63,300,300.266,310.307
64,300,300.267,310.307
65,300,300.268,310.307
66,300,300.268,310.307
67,300,300.269,310.307
68,300,300.27,310.307
69,300,310.366,320.303
70,300,310.368,320.303
71,300,310.368,320.303
72,300,310.369,320.303
73,300,310.37,320.303
74,300,310.37,320.303
75,300,310.371,320.303
76,300,310.372,320.303
77,300,320.35,331.649
78,300,320.352,331.649
79,300,320.352,331.649
80,300,320.352,331.649
81,400,400.104,406.901
82,400,400.105,406.901
83,400,400.105,406.901
84,400,400.106,406.901
85,400,400.106,406.901
86,400,400.106,406.901
87,400,400.106,406.901
88,400,400.107,406.901
89,400,406.948,413.414
90,400,406.949,413.414
91,400,406.949,413.414
92,400,406.95,413.414
93,400,406.95,413.414
94,400,406.951,413.414
95,400,406.951,413.414
96,400,406.952,413.414
97,400,413.464,422.272
98,400,413.465,422.272
99,400,413.466,422.272
100,400,413.466,422.272
101,500,500.074,506.9
102,500,500.074,506.9
103,500,500.074,506.9
104,500,500.075,506.9
105,500,500.075,506.9
106,500,500.075,506.9
107,500,500.075,506.9
108,500,500.076,506.9
109,500,506.931,514.038
110,500,506.931,514.038
111,500,506.932,514.038
112,500,506.932,514.038
113,500,506.932,514.038
114,500,506.932,514.038
115,500,506.933,514.038
116,500,506.933,514.038
117,500,514.069,522.825
118,500,514.07,522.825
119,500,514.07,522.825
120,500,514.07,522.825
121,600,600.103,606.725
122,600,600.103,606.725
123,600,600.104,606.725
124,600,600.104,606.725
125,600,600.104,606.725
126,600,600.104,606.725
127,600,600.105,606.725
128,600,600.105,606.725
129,600,606.752,613.25
130,600,606.753,613.25
131,600,606.753,613.25
132,600,606.753,613.25
133,600,606.754,613.25
134,600,606.754,613.25
135,600,606.754,613.25
136,600,606.754,613.25
137,600,613.281,621.998
138,600,613.281,621.998
139,600,613.281,621.998
140,600,613.282,621.998
141,700,700.084,706.733
142,700,700.085,706.733
143,700,700.085,706.733
144,700,700.086,706.733
145,700,700.086,706.733
146,700,700.086,706.733
147,700,700.086,706.733
148,700,700.087,706.733
149,700,706.772,713.535
150,700,706.773,713.535
151,700,706.773,713.535
152,700,706.774,713.535
153,700,706.774,713.535
154,700,706.774,713.535
155,700,706.775,713.535
156,700,706.775,713.535
157,700,713.56,722.234
158,700,713.56,722.234
159,700,713.561,722.234
160,700,713.561,722.234
161,800,800.069,806.758
162,800,800.07,806.758
163,800,800.07,806.758
164,800,800.07,806.758
165,800,800.07,806.758
166,800,800.071,806.758
167,800,800.071,806.758
168,800,800.071,806.758
169,800,806.791,813.314
170,800,806.792,813.314
171,800,806.792,813.314
172,800,806.792,813.314
173,800,806.793,813.314
174,800,806.793,813.314
175,800,806.793,813.314
176,800,806.794,813.314
177,800,813.352,822.032
178,800,813.352,822.032
179,800,813.353,822.032
180,800,813.354,822.032
181,900,900.101,906.841
182,900,900.102,906.841
183,900,900.102,906.841
184,900,900.102,906.841
185,900,900.102,906.841
186,900,900.103,906.841
187,900,900.103,906.841
188,900,900.103,906.841
189,900,906.878,913.51
190,900,906.879,913.51
191,900,906.879,913.51
192,900,906.879,913.51
193,900,906.88,913.51
194,900,906.88,913.51
195,900,906.881,913.51
196,900,906.881,913.51
197,900,913.556,920.019
198,900,913.557,920.019
199,900,913.557,920.019
200,900,913.558,920.019
