index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal,accepted,terminal,enqueue_returned_ns,result_observed_ns,sync_started_ns,synced_ns,published_ns
0,23959208809,23959797441,23959797572,23969993293,23974020235,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373,1,1,23959828501,25761955977,23970592660,23974015439,23974019695
1,24159208809,24159298462,24159298602,24169459700,24173744119,0,1,3,1,3,3,200,200,200,103,3,3405582928,0,1,11360549163515820340,1,1,24159324381,25761956347,24170213252,24173738192,24173743468
2,24359208809,24359372009,24359372209,24369480229,24371546869,0,1,4,1,4,4,400,400,400,104,4,3405386328,0,1,13882734872147665779,1,1,24359395235,25761956507,24370115570,24371543105,24371546148
3,24559208809,24559501811,24559502061,24569606837,24571693019,0,1,5,1,5,5,600,600,600,105,5,3405451864,0,1,11285214504928271098,1,1,24559515596,25761956637,24570312265,24571686241,24571690936
4,24759208809,24759300351,24759300501,24769420315,24771655602,0,1,6,1,6,6,800,800,800,106,6,3405255256,0,1,16053459004650634777,1,1,24759309481,25761956838,24770234314,24771652508,24771655101
5,24959208809,24959271695,24959271985,24969368030,24971092567,0,1,7,1,7,7,1000,1000,1000,107,7,3405320792,0,1,6773743824786951824,1,1,24959296302,25761956978,24970240705,24971088783,24971092097
6,25159208809,25159340944,25159341074,25169485631,25172149742,0,1,8,1,8,8,1200,1200,1200,108,8,3405124176,0,1,11076928842642903903,1,1,25159367259,25761957108,25170197838,25172140953,25172145318
7,25359208809,25359337676,25359337806,25369453476,25371676236,0,1,9,1,9,9,1400,1400,1400,109,9,3405189712,0,1,7142343869403189366,1,1,25359344493,25761957578,25370168564,25371671362,25371675676
8,25559208809,25559312890,25559313030,25569431933,25572254958,0,1,10,1,10,10,1600,1600,1600,110,10,3404993104,0,1,6197908508076442757,1,1,25559332880,25761957719,25570260671,25572251825,25572254447
9,25759208809,25759340253,25759340403,25759400582,25761878793,0,1,11,1,11,11,1800,1800,1800,111,11,3405058640,0,1,773068371793357788,1,1,25759387239,25761957859,25760147851,25761873608,25761878062
