index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,229665893730,229678042850,1,1,1
1,229670893730,229683412937,1,1,1
2,229675893730,229687980184,1,1,1
3,229680893730,229692732317,1,1,1
4,229685893730,229697573857,1,1,1
5,229690893730,229702897851,1,1,1
6,229695893730,229707552634,1,1,1
7,229700893730,229712452854,1,1,1
8,229705893730,229717402012,1,1,1
9,229710893730,229722656496,1,1,1
10,229715893730,229727435321,1,1,1
11,229720893730,229732660526,1,1,1
12,229725893730,229737515586,1,1,1
13,229730893730,229743535589,1,1,1
14,229735893730,229749074899,1,1,1
15,229740893730,229754745313,1,1,1
16,229745893730,229759650173,1,1,1
17,229750893730,229764913819,1,1,1
18,229755893730,229770594492,1,1,1
19,229760893730,229776165428,1,1,1
20,229765893730,229781570725,1,1,1
21,229770893730,229787689605,1,1,1
22,229775893730,229793039622,1,1,1
23,229780893730,229798650126,1,1,1
24,229785893730,229804139914,1,1,1
25,229790893730,229809713017,1,1,1
26,229795893730,229815702522,1,1,1
27,229800893730,229821729189,1,1,1
28,229805893730,229827481167,1,1,1
29,229810893730,229833178444,1,1,1
30,229815893730,229838607983,1,1,1
31,229820893730,229844384810,1,1,1
32,229825893730,229849774890,1,1,1
33,229830893730,229854712602,1,1,1
34,229835893730,229859741142,1,1,1
35,229840893730,229864604012,1,1,1
36,229845893730,229869701394,1,1,1
37,229850893730,229875187099,1,1,1
38,229855893730,229880598996,1,1,1
39,229860893730,229886632183,1,1,1
40,229865893730,229892406712,1,1,1
41,229870893730,229897725511,1,1,1
42,229875893730,229903700174,1,1,1
43,229880893730,229909372815,1,1,1
44,229885893730,229914847943,1,1,1
45,229890893730,229920543093,1,1,1
46,229895893730,229925740347,1,1,1
47,229900893730,229931116578,1,1,1
48,229905893730,229936542975,1,1,1
49,229910893730,229942240875,1,1,1
50,229915893730,229948357776,1,1,1
51,229920893730,229953930789,1,1,1
52,229925893730,229959293763,1,1,1
53,229930893730,229964842670,1,1,1
54,229935893730,229970465298,1,1,1
55,229940893730,229976505390,1,1,1
56,229945893730,229982680615,1,1,1
57,229950893730,229988657513,1,1,1
58,229955893730,229993947584,1,1,1
59,229960893730,229999233114,1,1,1
60,229965893730,230004747633,1,1,1
61,229970893730,230010539684,1,1,1
62,229975893730,230016253578,1,1,1
63,229980893730,230021983460,1,1,1
64,229985893730,230027435698,1,1,1
65,229990893730,230033613482,1,1,1
66,229995893730,230039334123,1,1,1
67,230000893730,230044606720,1,1,1
68,230005893730,230050507422,1,1,1
69,230010893730,230055991653,1,1,1
70,230015893730,230061577540,1,1,1
71,230020893730,230067887378,1,1,1
72,230025893730,230073379115,1,1,1
73,230030893730,230078972247,1,1,1
74,230035893730,230084643546,1,1,1
75,230040893730,230089582038,1,1,1
76,230045893730,230095876304,1,1,1
77,230050893730,230101851578,1,1,1
78,230055893730,230107554895,1,1,1
79,230060893730,230112982215,1,1,1
80,230065893730,230118809470,1,1,1
81,230070893730,230125876757,1,1,1
82,230075893730,230131391165,1,1,1
83,230080893730,230137597759,1,1,1
84,230085893730,230143627014,1,1,1
85,230090893730,230149756126,1,1,1
86,230095893730,230155709593,1,1,1
87,230100893730,230161562670,1,1,1
88,230105893730,230167608600,1,1,1
89,230110893730,230173885964,1,1,1
90,230115893730,230179742000,1,1,1
