round,mode,events,checkpoint_commits,sync_calls,elapsed_ms,p50_durable_ms,p99_durable_ms,max_durable_ms,max_pending
0,per_event,200,200,400,1450.63,287.111,537.495,550.609,1
0,batch8,200,30,60,919.969,13.2859,32.8719,32.8719,8
1,batch8,200,30,60,919.914,13.3453,29.9508,29.9508,8
1,per_event,200,200,400,1394.93,269.07,481.864,494.915,1
2,per_event,200,200,400,1448.79,287.013,535.557,548.773,1
2,batch8,200,30,60,921.028,13.8297,35.2443,35.2443,8
