index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,89861470574,89861654701,89861657332,89861657362,89867728732,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,0
1,90861470574,90861569799,90861572559,90861572579,90869101384,0,1,3,1,3,3,1000,1000,1000,103,3,3405582928,0,1,0
2,91861470574,91861585277,91861587916,91861587946,91866306206,0,1,4,1,4,4,2000,2000,2000,104,4,3405386328,0,1,0
