index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,89861470574,89861661773,0,0,89891701105,89891701105,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373
1,90861470574,90861649406,0,0,90897230251,90897230251,1,3,1,3,3,1000,1000,1000,103,3,3405582928,0,1,11169698248401890324
2,91861470574,91861728607,0,0,91894989154,91894989154,1,4,1,4,4,2000,2000,2000,104,4,3405386328,0,1,142359612475146035
