index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,87317224596,87317907533,87317910107,87317910127,87323394694,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,0
1,87367224596,87367318543,87367321148,87367321168,87374863938,0,1,3,1,3,3,50,50,50,103,3,3405582928,0,1,0
2,87417224596,87417340499,87417343063,87417343083,87423595021,0,1,4,1,4,4,100,100,100,104,4,3405386328,0,1,0
3,87467224596,87467296533,87467298847,87467298867,87473701195,0,1,5,1,5,5,150,150,150,105,5,3405451864,0,1,0
4,87517224596,87517383546,87517386591,87517386611,87522800660,0,1,6,1,6,6,200,200,200,106,6,3405255256,0,1,0
5,87567224596,87567312045,87567314589,87567314609,87573467927,0,1,7,1,7,7,250,250,250,107,7,3405320792,0,1,0
6,87617224596,87617309558,87617313174,87617313224,87622269385,0,1,8,1,8,8,300,300,300,108,8,3405124176,0,1,0
7,87667224596,87667338427,87667341341,87667341361,87673078905,0,1,9,1,9,9,350,350,350,109,9,3405189712,0,1,0
8,87717224596,87717313952,87717317527,87717317548,87723257339,0,1,10,1,10,10,400,400,400,110,10,3404993104,0,1,0
9,87767224596,87767338941,87767341666,87767341696,87774096809,0,1,11,1,11,11,450,450,450,111,11,3405058640,0,1,0
10,87817224596,87817315212,87817317957,87817317977,87823256884,0,1,12,1,12,12,500,500,500,112,12,3404862024,0,1,0
11,87867224596,87867290748,87867293312,87867293342,87873055609,0,1,13,1,13,13,550,550,550,113,13,3404927560,0,1,0
12,87917224596,87917332114,87917334478,87917334498,87923066224,0,1,14,1,14,14,600,600,600,114,14,3404730952,0,1,0
13,87967224596,87967316117,87967318771,87967318791,87971275503,0,1,15,1,15,15,650,650,650,115,15,3404796488,0,1,0
14,88017224596,88017332692,88017335136,88017335156,88021924918,0,1,16,1,16,16,700,700,700,116,16,3404599888,0,1,0
15,88067224596,88067436452,88067439978,88067440028,88073112726,0,1,17,1,17,17,750,750,750,117,17,3404665424,0,1,0
16,88117224596,88117309369,88117311903,88117311923,88122618074,0,1,18,1,18,18,800,800,800,118,18,3404468816,0,1,0
17,88167224596,88167314025,88167317030,88167317050,88172750221,0,1,19,1,19,19,850,850,850,119,19,3404534352,0,1,0
18,88217224596,88217324010,88217330678,88217330698,88222841611,0,1,20,1,20,20,900,900,900,120,20,3404337752,0,1,0
19,88267224596,88267292329,88267294692,88267294712,88271282070,0,1,21,1,21,21,950,950,950,121,21,3404403288,0,1,0
20,88317224596,88317335682,88317338375,88317338395,88323535234,0,1,22,1,22,22,1000,1000,1000,122,22,3404206680,0,1,0
21,88367224596,88367311233,88367313786,88367313806,88374338688,0,1,23,1,23,23,1050,1050,1050,123,23,3404272216,0,1,0
22,88417224596,88417305237,88417308290,88417308320,88422877667,0,1,24,1,24,24,1100,1100,1100,124,24,3404075600,0,1,0
23,88467224596,88467313887,88467316310,88467316330,88473561767,0,1,25,1,25,25,1150,1150,1150,125,25,3404141136,0,1,0
24,88517224596,88517332375,88517337118,88517337138,88522857015,0,1,26,1,26,26,1200,1200,1200,126,26,3403944528,0,1,0
25,88567224596,88567339805,88567343027,88567343047,88572757774,0,1,27,1,27,27,1250,1250,1250,127,27,3404010064,0,1,0
26,88617224596,88617336549,88617339731,88617339751,88623952698,0,1,28,1,28,28,1300,1300,1300,128,28,3403813544,0,1,0
27,88667224596,88667352555,88667355077,88667355097,88672519323,0,1,29,1,29,29,1350,1350,1350,129,29,3403879080,0,1,0
28,88717224596,88717319918,88717323440,88717323460,88722769998,0,1,30,1,30,30,1400,1400,1400,130,30,3403682472,0,1,0
29,88767224596,88767363383,88767366825,88767366845,88774342578,0,1,31,1,31,31,1450,1450,1450,131,31,3403748008,0,1,0
30,88817224596,88817309321,88817312043,88817312063,88823059316,0,1,32,1,32,32,1500,1500,1500,132,32,3403551376,0,1,0
31,88867224596,88867315104,88867317766,88867317786,88873568035,0,1,33,1,33,33,1550,1550,1550,133,33,3403616912,0,1,0
32,88917224596,88917342215,88917344907,88917344927,88924047725,0,1,34,1,34,34,1600,1600,1600,134,34,3403420304,0,1,0
33,88967224596,88967333874,88967336436,88967336456,88973668514,0,1,35,1,35,35,1650,1650,1650,135,35,3403485840,0,1,0
34,89017224596,89017358097,89017361330,89017361350,89021533713,0,1,36,1,36,36,1700,1700,1700,136,36,3403289240,0,1,0
35,89067224596,89067322398,89067325400,89067325420,89071551231,0,1,37,1,37,37,1750,1750,1750,137,37,3403354776,0,1,0
36,89117224596,89117379712,89117382194,89117382214,89121445375,0,1,38,1,38,38,1800,1800,1800,138,38,3403158168,0,1,0
37,89167224596,89167364217,89167367199,89167367219,89173088973,0,1,39,1,39,39,1850,1850,1850,139,39,3403223704,0,1,0
38,89217224596,89217341432,89217344543,89217344563,89221290382,0,1,40,1,40,40,1900,1900,1900,140,40,3403027088,0,1,0
39,89267224596,89267342614,89267345475,89267345495,89271445740,0,1,41,1,41,41,1950,1950,1950,141,41,3403092624,0,1,0
