sequence,planned_ms,computed_ms,durable_ms
1,0,0.001555,6.53711
2,0,6.5788,13.1465
3,0,13.1628,20.0713
4,0,20.0859,26.6384
5,0,26.6509,33.0525
6,0,33.0612,39.644
7,0,39.6609,46.4683
8,0,46.4919,53.3573
9,0,53.3733,63.2919
10,0,63.3063,70.498
11,0,70.514,77.538
12,0,77.5551,84.4182
13,0,84.4306,91.2018
14,0,91.219,97.9083
15,0,97.9233,104.337
16,0,104.356,111.151
17,0,111.181,117.967
18,0,117.979,124.722
19,0,124.738,131.497
20,0,131.513,138.163
21,100,138.193,144.874
22,100,144.892,151.358
23,100,151.374,158.41
24,100,158.429,166.414
25,100,166.426,172.966
26,100,172.982,179.614
27,100,179.63,186.143
28,100,186.16,192.417
29,100,192.434,199.06
30,100,199.075,205.762
31,100,205.781,214.967
32,100,214.984,222.645
33,100,222.662,229.258
34,100,229.276,236.445
35,100,236.464,243.394
36,100,243.411,251.016
37,100,251.039,257.941
38,100,257.958,264.406
39,100,264.426,271.122
40,100,271.137,283.291
41,200,283.31,293.533
42,200,293.552,300.646
43,200,300.665,307.367
44,200,307.387,314.112
45,200,314.132,320.743
46,200,320.76,327.582
47,200,327.6,334.074
48,200,334.087,340.82
49,200,340.839,347.532
50,200,347.55,354.199
51,200,354.215,360.823
52,200,360.841,367.455
53,200,367.471,374.913
54,200,374.931,383.741
55,200,383.759,393.096
56,200,393.116,403.682
57,200,403.699,411.659
58,200,411.678,418.312
59,200,418.331,424.973
60,200,424.992,431.611
61,300,431.625,438.921
62,300,438.942,445.815
63,300,445.832,452.432
64,300,452.453,462.687
65,300,462.707,474.279
66,300,474.301,493.282
67,300,493.3,499.979
68,300,499.996,507.423
69,300,507.442,513.87
70,300,513.889,520.451
71,300,520.47,528.631
72,300,528.649,538.557
73,300,538.576,546.978
74,300,547.003,555.63
75,300,555.651,570.296
76,300,570.315,580.255
77,300,580.273,586.91
78,300,586.928,595.258
79,300,595.274,603.255
80,300,603.272,612.254
81,400,612.271,619.743
82,400,619.762,628.261
83,400,628.278,634.79
84,400,634.804,641.444
85,400,641.462,647.925
86,400,647.943,654.547
87,400,654.561,669.628
88,400,669.643,678.931
89,400,678.945,685.301
90,400,685.32,692.445
91,400,692.464,699.489
92,400,699.508,705.984
93,400,706.003,712.513
94,400,712.531,719.185
95,400,719.205,725.754
96,400,725.775,732.461
97,400,732.479,739.065
98,400,739.083,745.761
99,400,745.779,752.412
100,400,752.43,759.57
101,500,759.589,767.245
102,500,767.265,773.815
103,500,773.83,780.5
104,500,780.518,787.104
105,500,787.12,793.799
106,500,793.817,800.617
107,500,800.632,807.268
108,500,807.283,813.854
109,500,813.872,821.54
110,500,821.562,828.136
111,500,828.155,834.624
112,500,834.637,841.268
113,500,841.28,847.849
114,500,847.867,854.865
115,500,854.883,861.643
116,500,861.663,868.159
117,500,868.187,874.606
118,500,874.624,880.982
119,500,881,887.427
120,500,887.446,895.974
121,600,895.995,902.556
122,600,902.573,908.848
123,600,908.865,915.322
124,600,915.339,921.762
125,600,921.78,929.469
126,600,929.487,936.096
127,600,936.112,942.786
128,600,942.803,949.258
129,600,949.274,955.844
130,600,955.883,962.626
131,600,962.645,969.369
132,600,969.387,981.839
133,600,981.857,994.074
134,600,994.089,1000.55
135,600,1000.56,1007.18
136,600,1007.19,1013.6
137,600,1013.62,1020.16
138,600,1020.19,1026.56
139,600,1026.57,1033.27
140,600,1033.29,1040.11
141,700,1040.13,1046.42
142,700,1046.44,1052.82
143,700,1052.84,1059.18
144,700,1059.2,1065.81
145,700,1065.83,1073.09
146,700,1073.13,1079.65
147,700,1079.67,1086.14
148,700,1086.15,1092.58
149,700,1092.6,1099.13
150,700,1099.15,1105.71
151,700,1105.72,1112.97
152,700,1112.99,1119.48
153,700,1119.5,1125.89
154,700,1125.91,1132.56
155,700,1132.58,1139.26
156,700,1139.27,1145.88
157,700,1145.9,1152.25
158,700,1152.26,1158.78
159,700,1158.79,1167.97
160,700,1167.98,1180.51
161,800,1180.53,1190.1
162,800,1190.11,1196.89
163,800,1196.9,1203.59
164,800,1203.6,1210.03
165,800,1210.05,1216.53
166,800,1216.54,1222.79
167,800,1222.81,1229.57
168,800,1229.59,1235.82
169,800,1235.84,1241.98
170,800,1242,1248.35
171,800,1248.37,1254.66
172,800,1254.67,1261.2
173,800,1261.23,1267.65
174,800,1267.69,1274.24
175,800,1274.26,1288.04
176,800,1288.07,1295.48
177,800,1295.5,1302.05
178,800,1302.07,1308.42
179,800,1308.44,1314.99
180,800,1315.01,1321.79
181,900,1321.81,1328.33
182,900,1328.35,1334.69
183,900,1334.71,1341.19
184,900,1341.21,1347.73
185,900,1347.75,1354.45
186,900,1354.46,1360.96
187,900,1360.97,1367.39
188,900,1367.41,1373.82
189,900,1373.84,1380.57
190,900,1380.59,1386.92
191,900,1386.95,1393.5
192,900,1393.52,1400.5
193,900,1400.52,1406.87
194,900,1406.88,1413.09
195,900,1413.11,1419.52
196,900,1419.53,1425.96
197,900,1425.98,1432.37
198,900,1432.39,1438.75
199,900,1438.76,1449.5
200,900,1449.52,1461.24
